seq_no,Line_Description,contract_number
132831,"GENERATOR, GALLANT VR ICD",PP-CA-449
132832,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
132838,"GENERATOR, GALLANT VR ICD",PP-CA-449
132839,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
132840,"SHEATH, CPS DIRECT UPSIZED WIDE 47CM",PP-CA-449
132841,"SHEATH, CPS DIRECT UPSIZED 135DEG 47CM",PP-CA-449
132843,"GENERATOR, QUADRA ALLURE MP CRT-P MRI",PP-CA-449
132844,"LEAD, QUARTET QUADRIPOLAR SMALL-S 1456Q/86",PP-CA-449
136466,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
136467,"LEAD, TENDRIL MRI 46CM",PP-CA-449
136468,"LEAD, TENDRILL STS 52",PP-CA-449
136469,"LEAD, TENDRIL MRI 52CM",PP-CA-449
136470,"GENERATOR, GALLANT DR ICD",PP-CA-449
136471,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK 7120Q/65",PP-CA-449
136482,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
136483,"LEAD, TENDRIL MRI 52CM",PP-CA-449
136484,"LEAD, TENDRILL STS 58",PP-CA-449
136485,"GENERATOR, ELLIPSE NEXT GEN ICD VR 36",PP-CA-449
136486,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
136487,"LEAD, TENDRIL MRI 46CM",PP-CA-449
136488,"LEAD, TENDRILL STS 52",PP-CA-449
137956,"LEAD, TENDRILL STS 52",PP-CA-449
137957,"LEAD, TENDRILL STS 58",PP-CA-449
137958,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
139164,"RECORDER, LOOP CONFIRM RX IMPLANTABLE",PP-CA-449
140198,"INTRODUCER SHEATH UPSIZED WIDE SHAPED SLITTABLE OUTER GUIDE CPS DIRECT SL II 47CM",PP-CA-449
144871,"GENERATOR, AVEIR LEADLESS PACEMAKER VR PM 19.5FR 38.5MM RV",PP-CA-449
144873,"GENERATOR, GALLANT HF BI-VENTRICULAR ICD CRT-D",PP-CA-449
144874,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
144875,"GENERATOR, GALLANT VR ICD",PP-CA-449
144876,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
144877,"LEAD, TENDRIL MRI 46CM",PP-CA-449
144878,"LEAD, TENDRILL STS 52",PP-CA-449
