seq_no,Line_Description,contract_number
105484,"REAGENT CHEMISTRY GEN-2 100 TEST VITAMIN B12 ELECSYS",PP-LA-524
105486,"Troponin T Gen 5 STAT CS Elecsys",PP-LA-524
107325,"CONTROL CHEMISTRY PRE CLEAN M ELECSYS 600ML",PP-LA-524
107326,"CONTROL CHEMISTRY CLEAN CELL M ELECSYS COBAS E 2X2LT",PP-LA-524
107327,"CONTROL CHEMISTRY PRO-CELL M (2X2L) ELECSYS COBAS E 2X2LT",PP-LA-524
119774,"CONTROL CHEMISTRY PRECI UNIVERSAL ELECSYS 4X3ML",PP-LA-524
128510,"REAGENT HCG STAT TESTPACK 100 TEST ELECSYS COBAS E",PP-LA-524
132554,"DILUENT CHEMISTRY UNIVERSAL 2 ELECSYS 2X36ML",PP-LA-524
133729,"REAGENT CHEMISTRY ELECSYS proBNP II CALSET Roche item 09315292190",PP-LA-524
133756,"CALIBRATOR HCG STAT ELECSYS V3 CALSET 1ML",PP-LA-524
133757,"REAGENT SYSWASH ELECSYS 500ML",PP-LA-524
133758,"REAGENT DILUENT UNIVERSAL COBAS 2X40ML",PP-LA-524
133759,"REAGENT CHEMISTRY 100 TEST CORTISOL II ELECSYS",PP-LA-524
133760,"REAGENT HCG STAT TESTPACK 100 TEST ELECSYS COBAS E",PP-LA-524
133761,"REAGENT CHEMISTRY 100 TEST PCT COBAS ELECSYS",PP-LA-524
133762,"REAGENT CHEMISTRY 100 TEST PTH-STAT COBAS E ELECSYS",PP-LA-524
133763,"REAGENT CHEMISTRY ELECSYS",PP-LA-524
133765,"CALIBRATOR CHEMISTRY FERRITIN CALSET 4ML",PP-LA-524
133767,"CALIBRATOR CHEMISTRY STAT 9MIN TROPININ T CALSET 4ML",PP-LA-524
133768,"CALIBRATOR CHEMISTRY TSH CALSET 4X1.3ML",PP-LA-524
133769,"CALIBRATOR CHEMISTRY FT4 II CALSET 4ML",PP-LA-524
134863,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
134864,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
136048,"TUBE TEST PICH VALVE COBAS E411",PP-LA-524
138823,"REAGENT CHEMISTRY 100 TEST PROGESTERONE III ELECSYS COBAS E",PP-LA-524
142805,"TIP PIPET ASSAY PREPARATION ELECSYS",PP-LA-524
142815,"CALIBRATOR HCG STAT ELECSYS V3 CALSET 1ML",PP-LA-524
144540,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
144541,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
148564,"CONTROL CHEMISTRY PRECI UNIVERSAL ELECSYS 4X3ML",PP-LA-524
150369,"REAGENT FSH TESTPACK 100 TEST ELECSYS COBAS E",PP-LA-524
150370,"CALIBRATOR CHEMISTRY AFP II CALSET 4ML",PP-LA-524
150371,"CALIBRATOR CHEMISTRY LH II CALSET 4ML",PP-LA-524
150372,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
150373,"CUP ANALYZER ELECSYS 60X60 REACTION",PP-LA-524
150374,"REAGENT DILUENT UNIVERSAL COBAS 2X40ML",PP-LA-524
150375,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
150376,"REAGENT SYSWASH ELECSYS 500ML",PP-LA-524
150377,"REAGENT CHEMISTRY 100 TEST CA 125 II ELECSYS",PP-LA-524
150378,"REAGENT CHEMISTRY 100 TEST CA 15-3 II ELECSYS COBAS E",PP-LA-524
150379,"REAGENT CHEMISTRY 100 TEST CA19-9 ELECSYS COBAS E",PP-LA-524
150380,"REAGENT CHEMISTRY 100 TEST ESTRADIOL III ELECSYS COBAS E",PP-LA-524
150381,"REAGENT CHEMISTRY 100 TEST LH ELECSYS COBAS E",PP-LA-524
150382,"REAGENT CHEMISTRY 100 TEST PROLACTIN II ELECSYS COBAS E",PP-LA-524
150383,"REAGENT CHEMISTRY 100 TEST PARATHYROID HORMONE COBAS ELECSYS",PP-LA-524
150384,"REAGENT CHEMISTRY 100 TEST TESTOSTERONE II ELECSYS",PP-LA-524
150385,"TIP PIPET ASSAY PREPARATION ELECSYS",PP-LA-524
150410,"CALIBRATOR CHEMISTRY FT4 II CALSET 4ML",PP-LA-524
154210,"CALIBRATOR CHEMISTRY CA 15-3 II CALSET 4ML",PP-LA-524
154211,"REAGENT CHEMISTRY 100 TEST AFP ELECSYS",PP-LA-524
154267,"REAGENT HCG STAT TESTPACK 100 TEST ELECSYS COBAS E",PP-LA-524
156980,"REAGENT FERRITIN GENERATION II",PP-LA-524
156981,"REAGENT CHEMISTRY 200 TEST THYROID STIMULATING HORMONE ELECSYS",PP-LA-524
156982,"REAGENT CHEMISTRY 200 TEST FT4 II ELECSYS",PP-LA-524
156983,"REAGENT HCG STAT TESTPACK 100 TEST ELECSYS COBAS E",PP-LA-524
159596,"CALIBRATOR CHEMISTRY FT4 II CALSET 4ML",PP-LA-524
159597,"CALIBRATOR CHEMISTRY FERRITIN CALSET 4ML",PP-LA-524
159598,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
159599,"CALIBRATOR HCG STAT ELECSYS V3 CALSET 1ML",PP-LA-524
