seq_no,Line_Description,contract_number
49037,"SUTURE, 0 POLYSORB ENDO STITCH UNDYED ES-9 48",PP-OR-1487
49040,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
49041,"SCISSOR, ENDO SHEARS 5MM",PP-OR-1487
49044,"TROCAR, ENDO CLOSE",PP-OR-1487
54356,"RELOAD, ARTICULATE ENDO GIA TRISTAPLE MED/THICK RE",PP-OR-1487
54876,"RELOAD, ARTICULATING ENDO GIA TRISTAPLE MED TAN 60MM",PP-OR-1487
54910,"CLIP, LAPROCLIP LIGATING CARTRIDGE ABSORB 12MM",PP-OR-1487
54911,"HANDLE, GIA UNIVERSAL SHORT 12MM",PP-OR-1487
54912,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM EXTRA/THCK",PP-OR-1487
55868,"APPLIER, ENDOCLIP 10MM",PP-OR-1487
55869,"RELOAD, GIA 80MM - 3.8MM",PP-OR-1487
55870,"SCISSOR, ENDO SHEARS 5MM",PP-OR-1487
55871,"TROCAR, ENDO CLOSE",PP-OR-1487
55872,"PURSTRING, DISP. 65 INST.",PP-OR-1487
55874,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
55875,"RELOAD, SIGNIA TRI-STAPLE 2.0 30 MM CURVED TIP ARTICULATING VASCULAR/MEDIUM",PP-OR-1487
55876,"RELOAD, ENDO GIA 45MM TRISTAPLE ARTICULATING MED TAN",PP-OR-1487
55877,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM MED/THCK",PP-OR-1487
57106,"APPLIER, SURGICLIP III 9.0IN SMALL",PP-OR-1487
57107,"APPLIER, SURGICLIP 11.5IN MED",PP-OR-1487
57109,"APPLIER, SURGICLIP MED 9.75",PP-OR-1487
57110,"STAPLER, GIA 80MM - 3.8MM",PP-OR-1487
57111,"STAPLER, EEA XL 28MM W/ 4.8MM STAPLE",PP-OR-1487
57112,"STAPLER, EEA XL 31MM W/ 4.8MM STAPLE",PP-OR-1487
57708,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
57710,"PURSTRING, DISP. 65 INST.",PP-OR-1487
57712,"RELOAD, ENDO GIA MED THICK PURPLE 45MM",PP-OR-1487
57721,"APPLIER, ENDO CLIP III 5MM",PP-OR-1487
58889,"RELOAD, ARTICULATE ENDO GIA TRISTAPLE MED/THICK RE",PP-OR-1487
58890,"STAPLER, GIA 80MM - 3.8MM",PP-OR-1487
58938,"STAPLER, TA 60MM - 4.8MM RELOADABLE",PP-OR-1487
58939,"SUTURE, 0 POLYSORB ENDO STITCH UNDYED ES-9 48",PP-OR-1487
58941,"RELOAD, SIGNIA TRI-STAPLE 2.0 30 MM CURVED TIP ARTICULATING VASCULAR/MEDIUM",PP-OR-1487
58942,"RELOAD, ENDO GIA 45MM TRISTAPLE ARTICULATING MED TAN",PP-OR-1487
58943,"RELOAD, GIA 80MM - 3.8MM",PP-OR-1487
59944,"STAPLER, GIA 80MM - 3.8MM",PP-OR-1487
59995,"APPLIER, ENDO CLIP II MED/LARGE 10 MM 20 TI CLIPS",PP-OR-1487
59996,"RELOAD, GIA 80MM - 3.8MM",PP-OR-1487
59997,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
59998,"POUCH, SPECIMEN ENDOCATCH II 15MM",PP-OR-1487
61697,"TROCAR, ENDO CLOSE",PP-OR-1487
61699,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
61716,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
61720,"APPLIER, ENDO CLIP II MED/LARGE 10 MM 20 TI CLIPS",PP-OR-1487
61721,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
62994,"RELOAD, ENDO GIA 45MM TRISTAPLE ARTICULATING MED TAN",PP-OR-1487
62995,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM MED/THCK",PP-OR-1487
